ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,DateTime,Date,Time,Hour,Minute,DayOfWeek,DayName,WeekOfYear,OccupancyRate,VehicleType_Encoded,TrafficLevel_Encoded
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,04-10-2016,07:59:00,2016-10-04 07:59:00,2016-10-04,07:59:00,7,59,1,Tuesday,40,10.571923743500866,3,1
1,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,04-10-2016,08:25:00,2016-10-04 08:25:00,2016-10-04,08:25:00,8,25,1,Tuesday,40,11.091854419410744,3,1
2,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0,04-10-2016,08:59:00,2016-10-04 08:59:00,2016-10-04,08:59:00,8,59,1,Tuesday,40,13.864818024263432,3,1
3,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0,04-10-2016,09:32:00,2016-10-04 09:32:00,2016-10-04,09:32:00,9,32,1,Tuesday,40,18.544194107452338,3,1
4,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0,04-10-2016,09:59:00,2016-10-04 09:59:00,2016-10-04,09:59:00,9,59,1,Tuesday,40,25.99653379549394,2,1
5,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0,04-10-2016,10:26:00,2016-10-04 10:26:00,2016-10-04,10:26:00,10,26,1,Tuesday,40,30.675909878682845,3,1
6,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0,04-10-2016,10:59:00,2016-10-04 10:59:00,2016-10-04,10:59:00,10,59,1,Tuesday,40,37.954939341421145,4,3
7,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0,04-10-2016,11:25:00,2016-10-04 11:25:00,2016-10-04,11:25:00,11,25,1,Tuesday,40,42.80762564991335,3,2
8,BHMBCCMKT01,577,26.14453614,91.73617216,259,cycle,average,5,0,04-10-2016,11:59:00,2016-10-04 11:59:00,2016-10-04,11:59:00,11,59,1,Tuesday,40,44.88734835355286,1,2
9,BHMBCCMKT01,577,26.14453614,91.73617216,266,bike,high,8,0,04-10-2016,12:29:00,2016-10-04 12:29:00,2016-10-04,12:29:00,12,29,1,Tuesday,40,46.10051993067591,2,3
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,04-10-2016,13:02:00,2016-10-04 13:02:00,2016-10-04,13:02:00,13,2,1,Tuesday,40,46.62045060658579,3,3
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,04-10-2016,13:29:00,2016-10-04 13:29:00,2016-10-04,13:29:00,13,29,1,Tuesday,40,45.58058925476603,3,3
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,04-10-2016,14:02:00,2016-10-04 14:02:00,2016-10-04,14:02:00,14,2,1,Tuesday,40,41.24783362218371,3,3
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,04-10-2016,14:29:00,2016-10-04 14:29:00,2016-10-04,14:29:00,14,29,1,Tuesday,40,37.26169844020797,4,2
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,04-10-2016,14:57:00,2016-10-04 14:57:00,2016-10-04,14:57:00,14,57,1,Tuesday,40,33.27556325823224,2,2
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,04-10-2016,15:30:00,2016-10-04 15:30:00,2016-10-04,15:30:00,15,30,1,Tuesday,40,28.596187175043326,3,1
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,04-10-2016,16:04:00,2016-10-04 16:04:00,2016-10-04,16:04:00,16,4,1,Tuesday,40,28.07625649913345,2,1
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,04-10-2016,16:31:00,2016-10-04 16:31:00,2016-10-04,16:31:00,16,31,1,Tuesday,40,24.783362218370883,3,2
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,05-10-2016,07:57:00,2016-10-05 07:57:00,2016-10-05,07:57:00,7,57,2,Wednesday,40,9.358752166377817,3,1
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,05-10-2016,08:30:00,2016-10-05 08:30:00,2016-10-05,08:30:00,8,30,2,Wednesday,40,10.22530329289428,3,2
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,05-10-2016,09:04:00,2016-10-05 09:04:00,2016-10-05,09:04:00,9,4,2,Wednesday,40,12.305025996533796,3,1
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,average,2,0,05-10-2016,09:30:00,2016-10-05 09:30:00,2016-10-05,09:30:00,9,30,2,Wednesday,40,14.384748700173311,3,2
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,05-10-2016,10:04:00,2016-10-05 10:04:00,2016-10-05,10:04:00,10,4,2,Wednesday,40,19.75736568457539,3,1
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,05-10-2016,10:30:00,2016-10-05 10:30:00,2016-10-05,10:30:00,10,30,2,Wednesday,40,22.183708838821488,4,3
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,average,4,0,05-10-2016,11:04:00,2016-10-05 11:04:00,2016-10-05,11:04:00,11,4,2,Wednesday,40,25.64991334488735,2,2
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,average,4,0,05-10-2016,11:30:00,2016-10-05 11:30:00,2016-10-05,11:30:00,11,30,2,Wednesday,40,28.07625649913345,3,2
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,05-10-2016,12:04:00,2016-10-05 12:04:00,2016-10-05,12:04:00,12,4,2,Wednesday,40,30.849220103986134,3,3
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,05-10-2016,12:30:00,2016-10-05 12:30:00,2016-10-05,12:30:00,12,30,2,Wednesday,40,31.715771230502597,3,3
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,high,7,0,05-10-2016,12:57:00,2016-10-05 12:57:00,2016-10-05,12:57:00,12,57,2,Wednesday,40,30.329289428076255,3,3
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,high,6,0,05-10-2016,13:30:00,2016-10-05 13:30:00,2016-10-05,13:30:00,13,30,2,Wednesday,40,31.022530329289427,4,3
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,average,4,0,05-10-2016,13:57:00,2016-10-05 13:57:00,2016-10-05,13:57:00,13,57,2,Wednesday,40,30.155979202772965,3,2
