ID,SystemCodeNumber,LotID,DateTime,Capacity,Occupancy,OccupancyRate,QueueLength,VehicleType,TrafficConditionNearby,IsSpecialDay,Hour,Model1_Price,Model2_Price,Model3_Price,Routing_Suggestion,TrafficLevel_Encoded,VehicleWeight,IsPeakHour,RealtimePrice_Demand,RealtimePrice_Competitive
0,BHMBCCMKT01,0,2016-10-04 07:59:00,577,61,10.571923743500866,1,car,low,0,7,10.211438474870018,10.780387410736925,10.780387410736925,,1,1.0,0,10.78,10.78
5248,BHMNCPHST01,4,2016-10-04 07:59:00,1200,237,19.75,2,bike,low,0,7,10.395,11.18130012146575,11.617030857624185,,1,0.7,0,11.18,11.18
3936,BHMMBMMBX01,3,2016-10-04 07:59:00,687,264,38.42794759825328,2,car,low,0,7,10.768558951965066,12.012946343597497,12.012946343597497,,1,1.0,0,12.01,12.01
6560,BHMNCPNST01,5,2016-10-04 07:59:00,485,249,51.340206185567006,2,car,low,0,7,11.02680412371134,12.488353534789631,12.488353534789631,,1,1.0,0,12.49,12.49
17056,Shopping,13,2016-10-04 07:59:00,1920,614,31.979166666666664,2,cycle,low,0,7,10.639583333333333,11.578201676183506,11.578201676183506,,1,0.5,0,11.58,11.58
2624,BHMEURBRD01,2,2016-10-04 07:59:00,470,117,24.8936170212766,2,car,low,0,7,10.497872340425532,11.49786391236885,11.49786391236885,,1,1.0,0,11.5,11.5
7872,Broad Street,6,2016-10-04 07:59:00,690,178,25.79710144927536,2,car,low,0,7,10.515942028985506,11.532706673154834,11.532706673154834,,1,1.0,0,11.53,11.53
14432,Others-CCCPS8,11,2016-10-04 07:59:00,1322,445,33.66111951588503,3,bike,average,0,7,10.6732223903177,12.427530631004675,12.427530631004675,,2,0.7,0,12.43,12.43
9184,Others-CCCPS105a,7,2016-10-04 07:59:00,2009,709,35.29118964659034,2,car,low,0,7,10.705823792931806,11.894963848865023,11.894963848865023,,1,1.0,0,11.89,11.89
10496,Others-CCCPS119a,8,2016-10-04 07:59:00,2803,195,6.956831965750982,1,car,low,0,7,10.13913663931502,10.636922406018805,11.224692006625524,,1,1.0,0,10.64,10.64
1312,BHMBCCTHL01,1,2016-10-04 07:59:00,387,120,31.00775193798449,2,car,low,0,7,10.62015503875969,11.732440030527142,11.732440030527142,,1,1.0,0,11.73,11.73
11808,Others-CCCPS135a,9,2016-10-04 07:59:00,3883,1081,27.839299510687614,2,car,low,0,7,10.556785990213752,11.61123978716294,11.61123978716294,,1,1.0,0,11.61,11.61
13120,Others-CCCPS202,10,2016-10-04 07:59:00,2937,547,18.62444671433436,2,bike,low,0,7,10.372488934286688,11.13722349963222,11.597000662296134,,1,0.7,0,11.14,11.14
